titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades
"HACIENDA EL CORTIJO ELITE, Apartamento en Venta en Oro Negro, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-el-cortijo-elite-apartamentos-en-venta-en-norte-de-armenia-armenia/6697787,547973000,3,2,86.63,armenia
"LAKE OCÉANO VERDE, Apartamento en Venta en Porerito, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/lake-oceano-verde-apartamentos-en-venta-en-porerito-jamundi/2948865,552650000,2,2,97.25,jamundí
"CIUDADELA VILLA DEL RIO, Casa en Venta en Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/ciudadela-villa-del-rio-casas-en-venta-en-jamundi/15017402,213525000,2,2,58,jamundí
"TERRABONGA 2, Apartamentos en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/terrabonga-2-apartamentos-en-venta-en-pozos-colorados-santa-marta/10331671,350700000,1,1,50.1,santa marta
"EDIFICIO LAURA, Apartamento en Venta en Alhambra, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/edificio-laura-apartamentos-en-venta-en-alhambra-bogota/7419389,469913600,1,2,46.8,bogotá
"RESERVA DE LA 26, Apartamentos en Venta en Las americas, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/reserva-de-la-26-apartamentos-en-venta-en-las-americas-bogota/10097276,291999000,1,1,27,bogotá
"HACIENDA  LA HERRADURA, Casa en Venta en Fagua, Chía",https://www.fincaraiz.com.co/proyectos-vivienda/hacienda-la-herradura-casas-en-venta-en-fagua-chia/15017481,598203840,0,0,507,chía
"BAVARO, Apartamento en Venta en Suroccidente, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/bavaro-apartamentos-en-venta-en-suroccidente-barranquilla/15017358,135801900,2,1,45.6,barranquilla
"Sky Tower, Apartamentos en Venta en El tejar, Bucaramanga",https://www.fincaraiz.com.co/proyectos-vivienda/sky-tower-apartamentos-en-venta-en-el-tejar-bucaramanga/10183158,478318000,1,1,46.27,bucaramanga
"SERENITY APARTMENTS, Apartamento en Venta en El Caimo, Armenia",https://www.fincaraiz.com.co/proyectos-vivienda/serenity-apartments-apartamentos-en-venta-en-el-caimo-armenia/15017132,265096000,1,1,37,armenia
"GREGAL, Apartamento en Venta en Montevideo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/gregal-apartamentos-en-venta-en-montevideo-bogota/5652353,599000000,2,2,64.5,bogotá
"PROVIDENCIA, Apartamentos en Venta en Guabinas, Yumbo",https://www.fincaraiz.com.co/proyectos-vivienda/providencia-apartamentos-en-venta-en-guabinas-yumbo/15016849,246510000,2,1,65.52,yumbo
"NATIVA - PARQUE DE LAS AMERICAS, Apartamento en Venta en Centro narino, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/nativa-parque-de-las-americas-apartamentos-en-venta-en-la-florida-occidental-bogota/10338805,287608000,1,1,38.81,bogotá
"SALINAS DEL SOL, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/salinas-del-sol-apartamentos-en-venta-en-pozos-colorados-santa-marta/10558889,496750000,1,1,37.74,santa marta
"Cerros de Santa María, Apartamentos en Venta en Floridablanca",https://www.fincaraiz.com.co/proyectos-vivienda/cerros-de-santa-maria-apartamentos-en-venta-en-floridablanca/15016899,431018000,2,2,77.72,floridablanca
"LIFE 72 OFICINAS, Oficina en Venta en Quinta camacho, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/life-72-oficinas-oficinas-en-venta-en-quinta-camacho-bogota/15017482,426828000,0,1,48.24,bogotá
"VERONA  CONDOMINIO, Apartamentos en Venta en Alfaguara, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/verona-condominio-apartamentos-en-venta-en-alfaguara-jamundi/4462929,333200000,3,2,80.47,jamundí
"DIPORTO, Apartamentos en Venta en Serena del Mar, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/diporto-apartamentos-en-venta-en-serena-del-mar-cartagena/15017360,652100000,1,2,64.1,cartagena
"ZUE RUBI, Apartamentos en Venta en Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/zue-rubi-apartamentos-en-venta-en-soacha/15017449,220000000,3,2,65,soacha
"DISTRITO VERA, Apartamento en Venta en Ciudad del Río, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/distrito-vera-apartamentos-en-venta-en-ciudad-del-rio-medellin/15017050,546605560,1,1,49.48,medellín
"LUCIÉRNAGAS, Apartamento en Venta en El carmelo, Candelaria",https://www.fincaraiz.com.co/proyectos-vivienda/luciernagas-apartamentos-en-venta-en-el-carmelo-candelaria/10521031,237653325,2,2,45.58,candelaria
"OLIVO, Apartamentos en Venta en Ciudad Country, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/olivo-apartamentos-en-venta-en-ciudad-country-jamundi/15017311,261317628,2,2,66.21,jamundí
"CORALIA, Apartamento en Venta en Serena del Mar, Cartagena",https://www.fincaraiz.com.co/proyectos-vivienda/coralia-apartamentos-en-venta-en-serena-del-mar-cartagena/15017359,525700000,2,3,73.31,cartagena
"BUONAVISTA APARTAMENTOS, Apartamento en Venta en Prados del norte, Cúcuta",https://www.fincaraiz.com.co/proyectos-vivienda/buonavista-apartamentos-apartamentos-en-venta-en-prados-del-norte-cucuta/7814952,155161500,2,1,37,cúcuta
"SALINAS DEL MAR, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/salinas-del-mar-apartamentos-en-venta-en-pozos-colorados-santa-marta/4961044,399000000,1,1,38,santa marta
"Bosques de Guaymaral Verdania, Apartamento en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/bosques-de-guaymaral-verdania-apartamentos-en-venta-en-lagos-de-torca-bogota/10229338,531137000,2,2,61.38,bogotá
"LA VIDA ES BELLA 1, Apartamento en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/la-vida-es-bella-1-apartamentos-en-venta-en-bello/10380755,239550000,3,2,63.9,bello
"NAPOLI, Apartamento en Venta en Miramar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/napoli-apartamentos-en-venta-en-miramar-barranquilla/4377455,320742000,2,2,57.4,barranquilla
"LOS LAGOS, Apartamento en Venta en Cascajal, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/los-lagos-apartamentos-en-venta-en-cascajal-cali/15017395,249538000,2,1,65.23,cali
"MORETTI, Apartamento en Venta en Riomar, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/moretti-apartamentos-en-venta-en-riomar-barranquilla/15017064,412736800,2,2,64.99,barranquilla
"SAMARIA, Apartamento en Venta en Pozos Colorados, Santa marta",https://www.fincaraiz.com.co/proyectos-vivienda/samaria-apartamentos-en-venta-en-pozos-colorados-santa-marta/10833128,1168747000,2,2,94.29,santa marta
"LOS SAUCES, Apartamentos en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/los-sauces-apartamentos-en-venta-en-la-felicidad-bogota/15017292,736096690,3,2,80.72,bogotá
"MALAGA CASTILLA RESERVADO, Apartamento en Venta en Tintala, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/malaga-castilla-reservado-apartamentos-en-venta-en-nueva-castilla-bogota/10080314,456811000,3,2,78.17,bogotá
"CASTELÓ, Apartamento en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/castelo-apartamentos-en-venta-en-nueva-castilla-bogota/15017471,391400173,3,2,59,bogotá
