,titulos,enlaces,precios,habitaciones,baños,metros_cuadrados,ciudades,region
0,"ROSSÉ APARTAMENTOS, Apartamento en Venta en Cajicá",https://www.fincaraiz.com.co/proyectos-vivienda/rosse-apartamentos-apartamentos-en-venta-en-cajica/15017467,310044931,3,2,60,cajicá,desconocido
1,"Palmaire Condominio y Club, Casa Campestre en Venta en Buenos aires, San gil",https://www.fincaraiz.com.co/proyectos-vivienda/palmaire-condominio-y-club-casas-campestres-en-venta-en-buenos-aires-san-gil/10842490,195888000,0,0,890.4,san gil,desconocido
2,"PELLARES DEL CASTILLO TIPO A, Casa en Venta en El Castillo, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/pellares-del-castillo-tipo-a-casas-en-venta-en-el-castillo-cali/7107296,653600000,3,3,141,cali,Amazonía
3,"EDIFICIO LAURA, Apartamento en Venta en Alhambra, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/edificio-laura-apartamentos-en-venta-en-alhambra-bogota/7419389,469913600,1,2,46.8,bogotá,Orinoquía
4,"ZUE ESMERALDA, Apartamento en Venta en Soacha",https://www.fincaraiz.com.co/proyectos-vivienda/zue-esmeralda-apartamentos-en-venta-en-soacha/15017446,135276300,2,1,39,soacha,desconocido
5,"ASTURIAS APARTAMENTOS CAMPESTRES, Apartamento en Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/asturias-apartamentos-campestres-apartamentos-en-venta-en-cerritos-pereira/6558820,608336157,2,3,81.1,pereira,Andina
6,"MORRO HOUSE CONDOMINIO, Apartamento en Venta en El Morro, Tubará",https://www.fincaraiz.com.co/proyectos-vivienda/morro-house-condominio-apartamentos-en-venta-en-el-morro-tubara/7096819,600000000,3,2,120,tubará,desconocido
7,"LEPARC 29, Apartamento en Venta en Santa monica, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/leparc-29-apartamentos-en-venta-en-santa-monica-cali/10617448,414460954,1,1,31.06,cali,Amazonía
8,"SCALENO 17, Apartamento en Venta en Paloquemao, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/scaleno-17-apartamentos-en-venta-en-los-martires-bogota/7922480,207546300,1,1,30.1,bogotá,Orinoquía
9,"CATARA, Apartamento en Venta en Ciudad Mallorquín, Barranquilla",https://www.fincaraiz.com.co/proyectos-vivienda/catara-apartamentos-en-venta-en-ciudad-mallorquin-barranquilla/15017356,192172500,2,2,55.6,barranquilla,Caribe
10,"PEÑON DE ALICANTE, Apartamento en Venta en Nueva Castilla, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/peñon-de-alicante-apartamentos-en-venta-en-nueva-castilla-bogota/10079928,409140000,3,2,63.82,bogotá,Orinoquía
11,"LA UNIÓN I DE LA MARLENE, Apartamento en Venta en Granjas san pablo, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/la-union-i-de-la-marlene-apartamentos-en-venta-en-granjas-san-pablo-bogota/6707287,195000000,3,1,48,bogotá,Orinoquía
12,"MONTEBONITO ALTO, Apartamento en Venta en Ub. montebonito et. ii, Dosquebradas",https://www.fincaraiz.com.co/proyectos-vivienda/montebonito-alto-apartamentos-en-venta-en-ub-montebonito-et-ii-dosquebradas/15016885,252300000,3,2,50.91,dosquebradas,desconocido
13,"BOSQUES DE ALCALA, Apartamento en Venta en Bello",https://www.fincaraiz.com.co/proyectos-vivienda/bosques-de-alcala-apartamentos-en-venta-en-bello/15017518,235000000,3,2,54.51,bello,desconocido
14,"MONGUÍ, Apartamento en Venta en Guabinas, Yumbo",https://www.fincaraiz.com.co/proyectos-vivienda/mongui-apartamentos-en-venta-en-guabinas-yumbo/15017309,196000000,1,1,47.5,yumbo,desconocido
15,"Belaterra Praia, Apartamento en Venta en Valle del Lili, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/belaterra-praia-apartamentos-en-venta-en-valle-del-lili-cali/15017153,195000000,2,2,56.19,cali,Amazonía
16,"SANTA ELENA LUXURY HOMES, Casa en Venta en La pizarra, Circasia",https://www.fincaraiz.com.co/proyectos-vivienda/santa-elena-luxury-homes-casas-en-venta-en-armenia/15016781,360000000,3,3,84.54,circasia,desconocido
17,"MIRADOR DEL EDÉN, Apartamento en Venta en Zona centro, Calarcá",https://www.fincaraiz.com.co/proyectos-vivienda/mirador-del-eden-apartamentos-en-venta-en-calarca/10420915,596598153,3,3,118.67,calarcá,desconocido
18,"SOUL, Apartamento en Venta en La inmaculada, Envigado",https://www.fincaraiz.com.co/proyectos-vivienda/soul-apartamentos-en-venta-en-envigado/7923280,700626600,2,2,75.58,envigado,desconocido
19,"MOKARA, Apartamento en Venta en El carmelo, Sabaneta",https://www.fincaraiz.com.co/proyectos-vivienda/mokara-apartamentos-en-venta-en-el-carmelo-sabaneta/7160378,630100000,3,3,85.86,sabaneta,desconocido
20,"LOCALES COMERCIALES CONSTRUCTORA MELENDEZ, Local en Venta en Cali",https://www.fincaraiz.com.co/proyectos-vivienda/locales-comerciales-constructora-melendez-locales-en-venta-en-cali/15016858,323035000,0,0,28.09,cali,Amazonía
21,"SAMANES APARTAMENTOS, Apartamento en Venta en Prados del Este, Cúcuta",https://www.fincaraiz.com.co/proyectos-vivienda/samanes-apartamentos-apartamentos-en-venta-en-prados-del-este-cucuta/7055853,272000000,2,2,48.58,cúcuta,Andina
22,"ROBLE ALTO PILARICA, Apartamento en Venta en La pilarica, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/roble-alto-pilarica-apartamentos-en-venta-en-la-pilarica-medellin/6932681,431000000,2,2,68.42,medellín,Andina
23,"LOS ALMENDROS, Apartamento en Venta en La felicidad, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/los-almendros-apartamentos-en-venta-en-la-felicidad-bogota/15017290,549579600,2,2,59.92,bogotá,Orinoquía
24,"RIVERA DE LOS GUADUALES, Casa en Venta en Zona Norte, Jamundí",https://www.fincaraiz.com.co/proyectos-vivienda/rivera-de-los-guaduales-casas-en-venta-en-zona-norte-jamundi/10711474,343968901,3,2,72.61,jamundí,desconocido
25,"EL GUAYACAN, Apartamento en Venta en Bochalema, Cali",https://www.fincaraiz.com.co/proyectos-vivienda/el-guayacan-apartamentos-en-venta-en-villa-fatima-cali/5750846,214000000,2,1,59.14,cali,Amazonía
26,"TIERRA DULCE, Apartaestudio en Venta en Caldas",https://www.fincaraiz.com.co/proyectos-vivienda/tierra-dulce-apartaestudios-en-venta-en-caldas/15016931,245000000,2,2,52,caldas,Andina
27,"ZUÁ CORAL – ZUÁ CIUDADELA RESIDENCIAL, Apartamento en Venta en La granja, Zipaquirá",https://www.fincaraiz.com.co/proyectos-vivienda/zua-coral-–-zua-ciudadela-residencial-apartamentos-en-venta-en-san-rafael-zipaquira/10687679,195800000,2,2,49.7,zipaquirá,desconocido
